__v,_id,audio_description,created_at,duration,end_time,file_mime_type,file_name,file_path,file_size_bytes,label,playback_type,start_time,transcript,user,video
0,5a69a54c035b2a59585fc4e4,5a69a54c035b2a59585fc4e5,20180125093716,28.514104308390024,28.514104308390024,audio/wav,1AkqmmIGaho_5a69a54c035b2a59585fc4e4.wav,/current/1AkqmmIGaho,5029932,,inline,0,[],5a69a495035b2a59585fc4df,5a69a52d035b2a59585fc4e1
0,5a70899285051907f83e46ab,5a70899285051907f83e46ac,20180130150450,2.507755102040816,8.422302970040816,audio/wav,kD0-wBO6dfk_5a70899285051907f83e46ab.wav,/current/kD0-wBO6dfk,442412,,inline,5.914547868,[],5a70872c035b2a59585fc503,5a70888a035b2a59585fc509
0,5a85b6213c55fb6e05de89f3,5a85b6213c55fb6e05de89f4,20180215163233,19.797333333333334,2.977214,audio/wav,ihCciBFdbkw_5a85b6213c55fb6e05de89f3.wav,/current/ihCciBFdbkw,3801132,,extended,2.977214,[],5a85b50d5005c16325ca8ac2,5938983d53f02d7a0fdd3a59
0,59818359f39ffb0ca2db55c9,59818359f39ffb0ca2db55ca,20170802074633,4.010666666666666,1.091594,audio/wav,BwHw4pDcGns_59818359f39ffb0ca2db55c9.wav,/current/BwHw4pDcGns,770092,d,extended,1.091594,[],59818126530a357fcbd30cca,59818211530a357fcbd30ccd
0,5ab02037bf2b7e665fdf0b41,5ab02038bf2b7e665fdf0b42,20180319204023,1.9504761904761905,12.719860144699823,audio/wav,qzvK1lJwVUM_5ab02037bf2b7e665fdf0b41.wav,/current/qzvK1lJwVUM,344108,agagag,inline,10.769383954223633,[],5ab0201cbf2b7e665fdf0b40,5aa5652176ea222478a810e2
0,5ac324bbb9b1ed1a198fc10a,5ac324bbb9b1ed1a198fc10b,20180403065243,3.1579138321995464,3.5849938321995465,audio/wav,ihCciBFdbkw_5ac324bbb9b1ed1a198fc10a.wav,/current/ihCciBFdbkw,557100,,inline,0.42708,[],5a9af29dd50e4355f98848c2,5938983d53f02d7a0fdd3a59
0,5a174673f345660a4f7f57de,5a174673f345660a4f7f57df,20171123220643,8.916462585034013,65.68830545533432,audio/wav,uHCEos5fFdQ_5a174673f345660a4f7f57de.wav,/current/uHCEos5fFdQ,1572908,1,inline,56.7718428703003,[],5a161bb5f345660a4f7f57dc,5a08f464d675d917e6614d44
0,5ad9aed6ba6ad77b6b7b002d,5ad9aed6ba6ad77b6b7b002e,20180420091150,0,7.960265104904175,audio/wav,Ks7AwV_uxO0_5ad9aed6ba6ad77b6b7b002d.wav,/current/Ks7AwV_uxO0,44,test,inline,7.960265104904175,[],5acc8e42b9b1ed1a198fc179,5acc9676b9b1ed1a198fc17b
0,5b54a973175ff377eb7c9087,5b54a973175ff377eb7c9088,20180722155739,5.851428571428571,18.820660571428572,audio/wav,RFUE09SRO8w_5b54a973175ff377eb7c9087.wav,/current/RFUE09SRO8w,1032236,,inline,12.969232,[],5b53e84bb4e1e66fc7a94f3c,5b54a3088c67206f7cd18553
0,5afbbce05eb2f317e6b8e251,5afbbce05eb2f317e6b8e252,20180516050848,8.544943310657596,4.294760999999999,audio/wav,ibMEFYNghgY_5afbbce05eb2f317e6b8e251.wav,/current/ibMEFYNghgY,1507372,,extended,4.294760999999999,[],5afbbc945eb2f317e6b8e250,5af9d6185eb2f317e6b8e215
0,5bc6f72ea66f5a4b1625cdd7,5bc6f72ea66f5a4b1625cdd8,20181017084742,5.38702947845805,0,audio/wav,gLax3zOBN40_5bc6f72ea66f5a4b1625cdd7.wav,/current/gLax3zOBN40,950316,introduction,extended,0,[],5bc6f4188b6b161563b70f4e,5bc6f427a66f5a4b1625cdd0
0,5bd1137d1d5e5c4317a4ebe0,5bd1137d1d5e5c4317a4ebe1,20181025005109,3.7151927437641725,1.1753841220703125,audio/wav,T_FdjXqSZlc_5bd1137d1d5e5c4317a4ebe0.wav,/current/T_FdjXqSZlc,655404,,extended,1.1753841220703125,[],5bd0f53e4c62b13d0adab755,5bce5f98e16e6108007b1507
0,5bd3253df5f7735b4e876e11,5bd3253df5f7735b4e876e12,20181026143125,20.897959183673468,20.897959183673468,audio/wav,HTj2n52jz94_5bd3253df5f7735b4e876e11.wav,/current/HTj2n52jz94,3686444,,inline,0,[],5bd1e60d9fd7274e38d25b9f,5bd14ea51d5e5c4317a4ec24
0,5bd37a2661758761133cef44,5bd37a2661758761133cef45,20181026203342,4.08671201814059,4.08671201814059,audio/wav,u6euUDxXlAM_5bd37a2661758761133cef44.wav,/current/u6euUDxXlAM,720940,title,inline,0,[],5bd36a0261758761133cef17,5bd3737d61758761133cef2a
0,5bdfe9e544b0f3748fe83219,5bdfe9e544b0f3748fe8321a,20181105065741,3.3436734693877552,29.920814,audio/wav,LvkC9T-y4wg_5bdfe9e544b0f3748fe83219.wav,/current/LvkC9T-y4wg,589868,,extended,29.920814,[],5a9af29dd50e4355f98848c2,5bcc3f28a66f5a4b1625cec4
0,5c37e30fe74835797434a06f,5c37e30fe74835797434a070,20190111002759,0,1.5,audio/wav,R0A94uhmGUI_5c37e30fe74835797434a06f.wav,/current/R0A94uhmGUI,44,,extended,1.5,[],5c368d1be74835797434a057,5c37e068e74835797434a06b
0,5c38d774183a4517acfbde0e,5c38d774183a4517acfbde0f,20190111175044,5.290666666666667,0.4104383116883117,audio/wav,iQVd0ZTtNDs_5c38d774183a4517acfbde0e.wav,/current/iQVd0ZTtNDs,1015852,,extended,0.4104383116883117,[],5c382f1a713f9d125494cbd9,5c382fd4713f9d125494cbdb
0,5c38e55685dde017d0c70b9d,5c38e55685dde017d0c70b9e,20190111184958,73.38666666666667,5.42055016784668,audio/wav,iQVd0ZTtNDs_5c38e55685dde017d0c70b9d.wav,/current/iQVd0ZTtNDs,14090284,Apply a thin coat,extended,5.42055016784668,[],5c382f1a713f9d125494cbd9,5c382fd4713f9d125494cbdb
0,5c3bc5bb8b6993268b5e3dec,5c3bc5bb8b6993268b5e3ded,20190113231155,0,1.997521,audio/wav,B8ISzf2pryI_5c3bc5bb8b6993268b5e3dec.wav,/current/B8ISzf2pryI,44,,extended,1.997521,[],58e7e4a8515cd458cef2e017,58e7cf2846e13dfd851a18f5
0,5c4f42bbf0d93b533389a181,5c4f42bbf0d93b533389a182,20190128175819,5.12,32.73173693133545,audio/wav,YbaTzT7PNTg_5c4f42bbf0d93b533389a181.wav,/current/YbaTzT7PNTg,983084,,inline,27.61173693133545,[],5c4f426c0071d10d8574953d,5c4ea4520071d10d85749539
0,5c6b3a8fa161690bf25e2ae7,5c6b3a8fa161690bf25e2ae8,20190218230655,38.91664399092971,39.66664399092971,audio/wav,97Cejesk1u0_5c6b3a8fa161690bf25e2ae7.wav,/current/97Cejesk1u0,6864940,,inline,0.75,[],5c54af3ef0d93b533389a254,5c6b386ea161690bf25e2ae0
0,5c6bece5cfe5b70c5f19dc96,5c6bece5cfe5b70c5f19dc97,20190219114749,20.138666666666666,0.2176022727272727,audio/wav,B-dn8jMxKeU_5c6bece5cfe5b70c5f19dc96.wav,/current/B-dn8jMxKeU,3866668,Astroholbrook Productions,extended,0.2176022727272727,[],5c6bdd00cfe5b70c5f19dc8e,5c6bec2acfe5b70c5f19dc95
