audio_clip,audio_description,duration,file_path,file_size_bytes,numOfAudioClips,video
591bd79bb36afc5114fc4d39,591bd79bb36afc5114fc4d3a,7.523265306122449,/current/Fzn_AKN67oI,1327148,1,58e7cf2a46e13dfd851a2049
591bd827a5918e7705468560,591bd827a5918e7705468561,5.758548752834467,/current/B8BD9txkGL4,1015852,1,58e7cf2a46e13dfd851a202e
591db3ca2805421bd3af5935,591db3ca2805421bd3af5936,13.746213151927437,/current/o2VFgHGKzx4,2424876,3,591da9de2805421bd3af5923
5928e0ff2805421bd3af59e1,5928e0ff2805421bd3af59e2,6.03718820861678,/current/Fzn_AKN67oI,1065004,1,58e7cf2a46e13dfd851a2049
5938981753f02d7a0fdd3a55,5938981753f02d7a0fdd3a56,3.1579138321995464,/current/Ezg4sr67OGA,557100,1,591db72d2805421bd3af593b
593dedd65de2104355026c63,593dedd65de2104355026c64,13.738666666666667,/current/vVdW9CGI3Nc,2637868,2,591f15022805421bd3af5980
594095a9a01de163a4ae0062,594095a9a01de163a4ae0063,13.188934240362812,/current/ihCciBFdbkw,2326572,1,5938983d53f02d7a0fdd3a59
59409b8ca01de163a4ae0068,59409b8ca01de163a4ae0069,6.130068027210885,/current/wvumRVaWKsI,1081388,2,59306c5f8e00470a74334b39
59413cc6a01de163a4ae0082,59413cc6a01de163a4ae0083,15.957333333333333,/current/DFF7hFBrk_4,6127660,1,59405c835de2104355026cae
5950554d1a4be609b2028c80,5950554d1a4be609b2028c81,16.904126984126986,/current/Vmb1tqYqyII,2981932,5,594c79eb52bb3b5bc99b1f30
595b26dfcad8aa46ed7da876,595b26dfcad8aa46ed7da877,4.266666666666667,/current/hseWMRV3lA8,819244,2,5949e0c27e95f25766d1cf65
598db2bbaacee334625b5783,598db2bbaacee334625b5784,7.337505668934241,/current/mxIZuPB9U4g,1294380,1,598db2b6aacee334625b5782
59dd064d0dd8756803dbb016,59dd064d0dd8756803dbb017,18.575963718820862,/current/5Ovh9KJ25ow,3276844,1,59dd04bd0dd8756803dbb013
59f9936108f3084d7d2a6499,59f9936108f3084d7d2a649a,6.222947845804988,/current/Sxc1Vz0xlGo,1097772,1,597283418451264bf2ab93c8
5a67871780ccc458a1b40fb4,5a67871780ccc458a1b40fb5,4.829750566893424,/current/w6eYoRIUVKg,852012,1,5a670a43a626df549385751d
5a95b2826227ba194f28f79f,5a95b2826227ba194f28f7a0,3.0650340136054424,/current/YC-MR84S1H8,540716,1,5a9576706227ba194f28f795
5a95b5d76227ba194f28f7ad,5a95b5d76227ba194f28f7ae,17.554285714285715,/current/YC-MR84S1H8,3096620,1,5a9576706227ba194f28f795
5a9c72c1d50e4355f9884974,5a9c72c1d50e4355f9884975,26.377868480725624,/current/2J5GzHoKl1Q,4653100,1,595058d41a4be609b2028c89
5a9c7327d50e4355f9884978,5a9c7327d50e4355f9884979,7.244625850340136,/current/0yOA1WnlpWY,1277996,1,5a9c7327d50e4355f9884977
5aa2ffc1806e21059a0210d8,5aa2ffc1806e21059a0210d9,16.512,/current/_X_AfRk9F9w,6340652,6,5a9b0578d50e4355f98848cc
5a69a54c035b2a59585fc4e4,5a69a54c035b2a59585fc4e5,28.514104308390024,/current/1AkqmmIGaho,5029932,1,5a69a52d035b2a59585fc4e1
5a70899285051907f83e46ab,5a70899285051907f83e46ac,2.507755102040816,/current/kD0-wBO6dfk,442412,1,5a70888a035b2a59585fc509
5a85b6213c55fb6e05de89f3,5a85b6213c55fb6e05de89f4,19.797333333333334,/current/ihCciBFdbkw,3801132,6,5938983d53f02d7a0fdd3a59
59818359f39ffb0ca2db55c9,59818359f39ffb0ca2db55ca,4.010666666666666,/current/BwHw4pDcGns,770092,1,59818211530a357fcbd30ccd
5ab02037bf2b7e665fdf0b41,5ab02038bf2b7e665fdf0b42,1.9504761904761905,/current/qzvK1lJwVUM,344108,1,5aa5652176ea222478a810e2
5ac324bbb9b1ed1a198fc10a,5ac324bbb9b1ed1a198fc10b,3.1579138321995464,/current/ihCciBFdbkw,557100,11,5938983d53f02d7a0fdd3a59
5a174673f345660a4f7f57de,5a174673f345660a4f7f57df,8.916462585034013,/current/uHCEos5fFdQ,1572908,2,5a08f464d675d917e6614d44
5ad9aed6ba6ad77b6b7b002d,5ad9aed6ba6ad77b6b7b002e,0,/current/Ks7AwV_uxO0,44,1,5acc9676b9b1ed1a198fc17b
5b54a973175ff377eb7c9087,5b54a973175ff377eb7c9088,5.851428571428571,/current/RFUE09SRO8w,1032236,1,5b54a3088c67206f7cd18553
5afbbce05eb2f317e6b8e251,5afbbce05eb2f317e6b8e252,8.544943310657596,/current/ibMEFYNghgY,1507372,4,5af9d6185eb2f317e6b8e215
5bc6f72ea66f5a4b1625cdd7,5bc6f72ea66f5a4b1625cdd8,5.38702947845805,/current/gLax3zOBN40,950316,1,5bc6f427a66f5a4b1625cdd0
5bd1137d1d5e5c4317a4ebe0,5bd1137d1d5e5c4317a4ebe1,3.7151927437641725,/current/T_FdjXqSZlc,655404,1,5bce5f98e16e6108007b1507
5bd3253df5f7735b4e876e11,5bd3253df5f7735b4e876e12,20.897959183673468,/current/HTj2n52jz94,3686444,2,5bd14ea51d5e5c4317a4ec24
5bd37a2661758761133cef44,5bd37a2661758761133cef45,4.08671201814059,/current/u6euUDxXlAM,720940,1,5bd3737d61758761133cef2a
5bdfe9e544b0f3748fe83219,5bdfe9e544b0f3748fe8321a,3.3436734693877552,/current/LvkC9T-y4wg,589868,13,5bcc3f28a66f5a4b1625cec4
5c37e30fe74835797434a06f,5c37e30fe74835797434a070,0,/current/R0A94uhmGUI,44,2,5c37e068e74835797434a06b
5c38d774183a4517acfbde0e,5c38d774183a4517acfbde0f,5.290666666666667,/current/iQVd0ZTtNDs,1015852,1,5c382fd4713f9d125494cbdb
5c38e55685dde017d0c70b9d,5c38e55685dde017d0c70b9e,73.38666666666667,/current/iQVd0ZTtNDs,14090284,1,5c382fd4713f9d125494cbdb
5c3bc5bb8b6993268b5e3dec,5c3bc5bb8b6993268b5e3ded,0,/current/B8ISzf2pryI,44,2,58e7cf2846e13dfd851a18f5
5c4f42bbf0d93b533389a181,5c4f42bbf0d93b533389a182,5.12,/current/YbaTzT7PNTg,983084,1,5c4ea4520071d10d85749539
5c6b3a8fa161690bf25e2ae7,5c6b3a8fa161690bf25e2ae8,38.91664399092971,/current/97Cejesk1u0,6864940,1,5c6b386ea161690bf25e2ae0
5c6bece5cfe5b70c5f19dc96,5c6bece5cfe5b70c5f19dc97,20.138666666666666,/current/B-dn8jMxKeU,3866668,1,5c6bec2acfe5b70c5f19dc95
5ca6b554e9b2de249a6f2581,5ca6b554e9b2de249a6f2582,1.6718367346938776,/current/S8hUzi6v43c,294956,1,5ca426eeca59c91fd281692f
5ca7405cca59c91fd2816952,5ca7405cca59c91fd2816953,9.659501133786849,/current/RxtzQg57O7w,1703980,2,58e7cf2946e13dfd851a1cd8
5c5ca78f0477e6699ad65e3c,5c5ca78f0477e6699ad65e3d,54.05605442176871,/current/RZRkzg-WqXM,9535532,1,5c5c881d70fc1768737789d4
5ccb1ac58d8ab44a02f7bf6d,5ccb1ac58d8ab44a02f7bf6e,8.021333333333333,/current/0rfYuVKSuVA,1540140,1,5ccaa71c8d8ab44a02f7bf52
5cd13ccd8d8ab44a02f7c04d,5cd13ccd8d8ab44a02f7c04e,15.872,/current/PWluwDvSGyw,3047468,1,5cd13cb9b7921a4a2e2bc4fe
5cd13dcdb7921a4a2e2bc4ff,5cd13dcdb7921a4a2e2bc500,13.141333333333334,/current/i13EZ_ftUm0,2523180,1,5cd0aaa68d8ab44a02f7c040
5cfa8567a774ac520ff93f1d,5cfa8567a774ac520ff93f1e,9.752380952380953,/current/0iYsBnj2BUk,1720364,1,5cf9bc9ca774ac520ff93f19
5d3367949d41be1e9b2eb242,5d3367949d41be1e9b2eb243,11.178666666666667,/current/JGwWNGJdvx8,2146348,9,5d2bdd406e1ff55b95381a77
5d7bf4d115c8ca3ccf56d6e9,5d7bf4d115c8ca3ccf56d6ea,27.136,/current/UTTxroRR-G0,5210156,1,5d7bf4cd15c8ca3ccf56d6e8
5db9fc892be5982fa847f93d,5db9fc892be5982fa847f93e,3.3436734693877552,/current/DXg70cl_MMs,589868,1,5db9fa2395bfcf300f1500a5
5dbb2c682ed0643772869af3,5dbb2c682ed0643772869af4,87.63733333333333,/current/EnnZnxhDU-4,16826412,1,5c40c8a7bea4b51e5c711040
5d93c3b97e4681160da2939b,5d93c3b97e4681160da2939c,38.17360544217687,/current/6ri6gK4FcnE,6733868,1,5d93c393540fcd0839becc16
5d9f47a6aade1e6d7e25de60,5d9f47a6aade1e6d7e25de61,6.408707482993197,/current/IOCXGOwzkRY,1130540,2,5d9616ee540fcd0839becc43
5d9f48403342826dbbb6aacf,5d9f48403342826dbbb6aad0,5.758548752834467,/current/IOCXGOwzkRY,1015852,2,5d9616ee540fcd0839becc43
5daff4e5816ebe3229a2ebbe,5daff4e5816ebe3229a2ebbf,20.48,/current/2_A9TThqY-s,3932204,1,5dafee1de4e413322f0b586f
